name,location,latitude,longitude,exec,cost,timespan,project_id,goal,start_date,completion,actual_cost
"Uttar Khaishayir Government Primary School","Daudpur",23.61931959,90.50365683,MOEDU,4,3,proj9280,Extending education facilities to the neighborhood,2023-01-02,0.0,0.0
"Uttar Khaishayir General Hospital","Daudpur",23.61931959,90.50365683,LGD,15,5,proj9681,Extending healthcare facilities to the neighborhood,2022-12-26,0.0,0.0
"Fazlul Rahman Memorial General Hospital","Tarabo",23.71440803,90.51711917,LGD,25,5,proj3281,Extending healthcare facilities to the neighborhood,2022-03-10,15.62,3.9
"Noapara Government Primary School","Tarabo",23.7293586,90.5089105,MOEDU,3,3,proj4207,Extending education facilities to the neighborhood,2023-01-17,0.0,0.0
"Noapara General Hospital","Tarabo",23.7293586,90.5089105,LGD,15,5,proj9465,Extending healthcare facilities to the neighborhood,2021-11-04,22.52,3.38
"Noapara Community Park","Tarabo",23.7293586,90.5089105,LGD,2,1,proj2754,Extending recreational facilities to the neighborhood,2023-01-09,0.0,0.0
"No. 79 Barpa General Hospital","Tarabo",23.7469498,90.5417278,LGD,9,5,proj5283,Extending healthcare facilities to the neighborhood,2023-01-05,0.0,0.0
"No. 74 Mashabo Government Primary School","Tarabo",23.7488533,90.553965,MOEDU,2,3,proj4588,Extending education facilities to the neighborhood,2023-01-03,0.0,0.0
"No. 74 Mashabo Community Park","Tarabo",23.7488533,90.553965,LGD,2,1,proj3724,Extending recreational facilities to the neighborhood,2022-10-17,17.53,0.35
"No. 56 Horgaon Community Park","Golakandail",23.7764662,90.5933341,LGD,2,1,proj4968,Extending recreational facilities to the neighborhood,2023-01-13,0.0,0.0
"Paboi Government Primary School","Murapara",23.7812657,90.5321705,MOEDU,4,3,proj1080,Extending education facilities to the neighborhood,2023-01-12,0.0,0.0
"Paboi General Hospital","Murapara",23.7812657,90.5321705,LGD,15,5,proj3173,Extending healthcare facilities to the neighborhood,2021-12-20,20.0,3.0
"Paboi Community Park","Murapara",23.7812657,90.5321705,LGD,2,1,proj8114,Extending recreational facilities to the neighborhood,2022-12-10,2.74,0.05
"Masumabad Government Primary School","Bhulta",23.799557,90.5448202,MOEDU,1,3,proj2485,Extending education facilities to the neighborhood,2022-10-08,6.67,0.07
"No. 26 Naora Government Primary School","Kayetpara",23.8017158,90.492804,MOEDU,4,3,proj9736,Extending education facilities to the neighborhood,2022-12-30,0.0,0.0
"Kushabo Government Primary School","Kanchan",23.8066314,90.5701778,MOEDU,3,3,proj1810,Extending education facilities to the neighborhood,2022-06-10,17.63,0.53
"Kushabo Community Park","Kanchan",23.8066314,90.5701778,LGD,2,1,proj6981,Extending recreational facilities to the neighborhood,2022-11-15,9.59,0.19
"Jahangir General Hospital","Rupganj",23.8091655,90.5358279,LGD,9,5,proj3316,Extending healthcare facilities to the neighborhood,2022-04-06,14.14,1.27
"Jahangir Community Park","Rupganj",23.8091655,90.5358279,LGD,1,1,proj7726,Extending recreational facilities to the neighborhood,2022-11-06,12.05,0.12
"Atlashpur General Hospital","Bhulta",23.8114074,90.5474247,LGD,21,5,proj4907,Extending healthcare facilities to the neighborhood,2023-01-07,0.0,0.0
"Kajigochh General Hospital","Shalbahan",23.81165412,90.41992933,LGD,21,5,proj4048,Extending healthcare facilities to the neighborhood,2023-01-13,0.0,0.0
"Hatabo Government Primary School","Kanchan",23.81429356,90.55622879,MOEDU,1,3,proj1430,Extending education facilities to the neighborhood,2023-01-12,0.0,0.0
"Hatabo General Hospital","Kanchan",23.81429356,90.55622879,LGD,22,5,proj4932,Extending healthcare facilities to the neighborhood,2022-07-22,8.27,1.82
"Hatabo Community Park","Kanchan",23.81429356,90.55622879,LGD,2,1,proj8071,Extending recreational facilities to the neighborhood,2022-07-03,46.58,0.93
"Harinda Community Park","Rupganj",23.8178692,90.5385196,LGD,2,1,proj1759,Extending recreational facilities to the neighborhood,2021-06-07,100.0,3.07
"Agarpara Government Primary School","Rupganj",23.82537587,90.52254964,MOEDU,3,3,proj4893,Extending education facilities to the neighborhood,2021-10-27,38.26,1.15
"Agarpara Community Park","Rupganj",23.82537587,90.52254964,LGD,1,1,proj5028,Extending recreational facilities to the neighborhood,2022-02-18,83.56,0.84
"Pitalganj Community Park","Rupganj",23.8259202,90.5530399,LGD,2,1,proj5163,Extending recreational facilities to the neighborhood,2022-04-24,65.75,1.31
"Gowal Para Government Primary School","Rupganj",23.8276418,90.5030257,MOEDU,3,3,proj1587,Extending education facilities to the neighborhood,2023-01-13,0.0,0.0
"Gowal Para General Hospital","Rupganj",23.8276418,90.5030257,LGD,24,5,proj4224,Extending healthcare facilities to the neighborhood,2021-10-13,23.73,5.7
"Gowal Para Community Park","Rupganj",23.8276418,90.5030257,LGD,2,1,proj7787,Extending recreational facilities to the neighborhood,2021-11-07,84.0,2.24
"Kanchan General Hospital","Kanchan",23.8316428,90.558248,LGD,24,5,proj3971,Extending healthcare facilities to the neighborhood,2023-01-11,0.0,0.0
"Pitalganj Brahmankhali Government Primary School","Rupganj",23.83284605,90.54201074,MOEDU,1,3,proj7880,Extending education facilities to the neighborhood,2022-12-31,0.0,0.0
"Pitalganj Brahmankhali General Hospital","Rupganj",23.83284605,90.54201074,LGD,14,5,proj7688,Extending healthcare facilities to the neighborhood,2021-07-17,28.55,4.0
"Pitalganj Brahmankhali Community Park","Rupganj",23.83284605,90.54201074,LGD,2,1,proj6340,Extending recreational facilities to the neighborhood,2022-08-27,31.51,0.63
"Yusufganj Government Primary School","Rupganj",23.8346268,90.4883393,MOEDU,4,3,proj5660,Extending education facilities to the neighborhood,2022-02-06,28.95,1.16
"Gutiabo Government Primary School","Rupganj",23.8352253,90.5276705,MOEDU,3,3,proj4979,Extending education facilities to the neighborhood,2022-08-09,12.15,0.36
"Gutiabo General Hospital","Rupganj",23.8352253,90.5276705,LGD,7,5,proj3331,Extending healthcare facilities to the neighborhood,2022-02-15,16.88,1.18
"Kenduapara Government Primary School","Kanchan",23.8353554,90.5554791,MOEDU,3,3,proj1227,Extending education facilities to the neighborhood,2022-04-12,23.01,0.69
"Kenduapara General Hospital","Kanchan",23.8353554,90.5554791,LGD,21,5,proj6752,Extending healthcare facilities to the neighborhood,2022-12-22,0.0,0.0
"Chowdhurypara Community Park","Kanchan",23.8363742,90.5696117,LGD,2,1,proj5060,Extending recreational facilities to the neighborhood,2023-01-09,0.0,0.0
"Poshi Harar Bari Government Primary School","Rupganj",23.8385501,90.4902048,MOEDU,5,3,proj5731,Extending education facilities to the neighborhood,2022-05-03,21.1,1.06
"Poshi Harar Bari General Hospital","Rupganj",23.8385501,90.4902048,LGD,7,5,proj5233,Extending healthcare facilities to the neighborhood,2021-12-02,20.99,1.47
"No. 40 Kortia Pubergaon Government Primary School","Bholabo",23.84080923,90.58791205,MOEDU,5,3,proj8315,Extending education facilities to the neighborhood,2021-10-02,40.55,2.03
"Ranipura Government Primary School","Kanchan",23.8414317,90.5716043,MOEDU,3,3,proj2607,Extending education facilities to the neighborhood,2022-04-30,21.37,0.64
"Ranipura General Hospital","Kanchan",23.8414317,90.5716043,LGD,17,5,proj3213,Extending healthcare facilities to the neighborhood,2023-01-16,0.0,0.0
"Birabo Government Primary School","Kanchan",23.8569547,90.5536643,MOEDU,5,3,proj8573,Extending education facilities to the neighborhood,2023-01-11,0.0,0.0
"Birabo General Hospital","Kanchan",23.8569547,90.5536643,LGD,23,5,proj8106,Extending healthcare facilities to the neighborhood,2022-10-18,3.45,0.79
